city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
Camacha,PT,1631345034,33.0833,-16.3333,20.68,88,40,0.0
São Filipe,CV,1631345036,14.8961,-24.4956,25.34,79,52,0.72
Antalaha,MG,1631345037,-14.9003,50.2788,24.1,65,68,6.13
Chaman,PK,1631345037,30.9236,66.4512,29.76,14,0,2.97
Bahía Blanca,AR,1631345038,-38.7196,-62.2724,10.09,85,16,3.45
Nome,US,1631345039,64.5011,-165.4064,8.04,72,40,5.66
Castro,BR,1631345041,-24.7911,-50.0119,12.11,61,99,1.79
Douentza,ML,1631345041,14.9951,-2.9517,27.59,62,100,3.01
Portland,US,1631344804,45.5234,-122.6762,17.49,78,75,0.89
Kathmandu,NP,1631344324,27.7167,85.3167,29.12,58,75,2.57
Chulym,RU,1631345044,55.0997,80.9572,14.61,56,95,7.74
Zhongshu,CN,1631345045,24.5167,103.7667,25.89,46,0,2.73
Suez,EG,1631345046,29.9737,32.5263,26.22,57,0,4.43
Vanavara,RU,1631345047,60.34,102.2797,13.75,41,100,1.81
Anadyr,RU,1631345048,64.75,177.4833,0.28,100,75,6.0
Abu Dhabi,AE,1631345049,24.4667,54.3667,38.06,53,3,3.09
Shīeli,KZ,1631345050,44.1667,66.75,24.36,16,0,4.02
Bukama,CD,1631345051,-9.2,25.85,29.54,24,35,4.05
Murakami,JP,1631345051,38.2333,139.4833,25.06,68,12,2.33
Saint-François,FR,1631345052,46.4154,3.9054,17.49,88,90,1.54
Najrān,SA,1631345053,17.4924,44.1277,33.36,12,25,2.8
Guerrero Negro,MX,1631345054,27.9769,-114.0611,23.06,82,57,4.77
Mahrīz,IR,1631345055,31.5917,54.4318,30.28,14,0,2.11
Meulaboh,ID,1631345056,4.1363,96.1285,29.48,67,99,3.11
Mizhou,CN,1631345057,35.9947,119.3975,30.47,58,0,3.07
Sept-Îles,CA,1631345057,50.2001,-66.3821,13.36,83,75,2.68
Isangel,VU,1631345058,-19.55,169.2667,20.93,68,28,5.85
Ambovombe,MG,1631345060,-25.1667,46.0833,21.9,49,0,8.7
Houma,US,1631345061,29.5958,-90.7195,21.12,89,0,2.32
Honningsvåg,NO,1631345062,70.9821,25.9704,6.94,64,99,6.44
Cravinhos,BR,1631345063,-21.3403,-47.7294,19.4,70,100,1.68
Princeton,US,1631344862,25.5384,-80.4089,26.1,89,40,0.0
La Ronge,CA,1631345064,55.1001,-105.2842,8.14,71,1,2.57
Karaton,ID,1631345066,-6.3424,106.1045,31.09,61,91,1.44
Yalutorovsk,RU,1631345066,56.6536,66.3006,5.1,92,100,6.36
Udachny,RU,1631345067,66.4167,112.4,16.3,54,100,4.9
Hervey Bay,AU,1631345068,-25.2986,152.8535,21.69,64,0,5.1
Hailar,CN,1631345070,49.2,119.7,11.57,79,96,2.34
Xushan,CN,1631345072,30.1764,121.2457,29.96,81,21,5.74
Dogondoutchi,NE,1631345073,13.6393,4.0287,27.1,74,0,4.62
Szamotuły,PL,1631345074,52.612,16.5779,20.73,77,100,3.52
Mahesāna,IN,1631345075,23.6,72.4,28.75,72,92,4.75
Mokhsogollokh,RU,1631345076,61.4681,128.9203,17.58,29,92,1.89
Fairbanks,US,1631345076,64.8378,-147.7164,12.0,79,90,5.14
Sangar,RU,1631345077,63.9242,127.4739,13.89,43,94,1.26
Melfi,IT,1631345078,40.9965,15.6514,21.33,62,100,1.43
Puerto Escondido,MX,1631345079,15.85,-97.0667,24.86,91,100,2.01
Toora-Khem,RU,1631345080,52.4675,96.11,16.76,28,10,1.26
Tilichiki,RU,1631345081,60.4667,166.1,2.99,75,100,9.81
Partūr,IN,1631345081,19.6,76.2167,28.3,67,98,5.98
Hamilton,US,1631345053,39.1834,-84.5333,17.42,87,1,0.0
Nālūt,LY,1631345083,30.3333,10.85,30.73,20,38,4.76
Lesosibirsk,RU,1631345084,58.2358,92.4828,15.99,47,100,3.84
Hambantota,LK,1631345084,6.1241,81.1185,32.19,70,75,6.69
Coquimbo,CL,1631345085,-29.9533,-71.3436,12.85,82,90,1.03
Shingū,JP,1631345086,33.7333,135.9833,28.55,88,100,1.1
Talaya,RU,1631345087,61.3833,152.75,1.27,57,100,6.05
Imbituba,BR,1631345089,-28.24,-48.6703,16.94,88,58,1.79
Nizwá,OM,1631345090,22.9333,57.5333,36.59,29,38,2.9
Krabi,TH,1631345091,8.0726,98.9105,29.06,83,75,3.09
Kristinestad,FI,1631345091,62.2743,21.376,11.9,97,100,0.59
Ola,RU,1631345092,59.5833,151.2833,9.28,43,9,4.94
Paka,MY,1631345093,4.6374,103.4368,29.96,66,40,2.06
Gouyave,GD,1631345094,12.1646,-61.7296,25.43,89,20,3.09
Asău,RO,1631345095,46.4333,26.4,18.75,34,100,0.53
Luancheng,CN,1631345095,37.8792,114.6517,32.09,53,0,2.4
Acajutla,SV,1631345096,13.5928,-89.8275,24.89,87,100,4.07
Pokhara,NP,1631344876,28.2333,83.9833,25.73,75,100,0.45
Ajmer,IN,1631345098,26.45,74.6333,28.0,73,100,5.24
Sheridan,US,1631345099,44.8333,-106.9173,23.1,42,1,3.09
Havre-St-Pierre,CA,1631345100,50.2334,-63.5986,12.2,94,1,6.17
Lusaka,ZM,1631345101,-15.4067,28.2871,15.57,66,100,5.54
Norman Wells,CA,1631345102,65.282,-126.8329,13.02,62,75,6.17
Marsá Maţrūḩ,EG,1631345102,31.3525,27.2453,27.11,61,40,4.63
Bereket,TM,1631345104,39.2446,55.5154,28.77,15,0,6.97
Salalah,OM,1631345105,17.0151,54.0924,29.05,84,90,3.09
Kavieng,PG,1631344991,-2.5744,150.7967,28.98,70,6,5.87
Klaksvík,FO,1631345106,62.2266,-6.589,10.51,76,90,1.9
Latung,PH,1631345107,5.5,120.8833,28.61,75,52,3.61
Angoche,MZ,1631345108,-16.2325,39.9086,26.18,63,32,4.81
Kralendijk,BQ,1631345109,12.15,-68.2667,27.99,83,20,6.17
Praia da Vitória,PT,1631345110,38.7333,-27.0667,19.31,94,40,7.7
Salekhard,RU,1631345110,66.53,66.6019,5.85,87,100,3.44
Marzuq,YE,1631345111,14.4,46.4667,32.38,28,9,2.12
Obihiro,JP,1631345112,42.9172,143.2044,16.67,91,96,3.61
Rincon,US,1631345113,32.296,-81.2354,23.25,96,1,0.0
Tiznit Province,MA,1631345113,29.5833,-9.5,25.05,24,0,0.93
Talara,PE,1631345114,-4.5772,-81.2719,18.93,85,82,4.88
Labuhan,ID,1631345115,-6.8844,112.2051,29.86,63,100,5.08
Bangkalan,ID,1631345116,-7.0455,112.7351,31.97,62,100,5.02
Carnwath,GB,1631345116,55.7004,-3.6258,14.69,98,100,2.98
Pangnirtung,CA,1631345117,66.1451,-65.7125,0.95,63,96,1.64
Visby,SE,1631345118,57.6409,18.296,18.81,77,0,2.57
Zhigansk,RU,1631345119,66.7697,123.3711,13.81,40,70,5.24
Svarstad,NO,1631345120,59.399,9.9698,18.23,92,100,0.44
Lampazos de Naranjo,MX,1631345121,27.0167,-100.5167,24.46,74,0,3.24
Atar,MR,1631345122,20.5169,-13.0499,31.82,44,99,2.7
Leningradskiy,RU,1631345123,69.3833,178.4167,-1.78,89,100,4.9
Iqaluit,CA,1631345124,63.7506,-68.5145,1.85,69,90,2.06
Santa Maria,BR,1631345125,-29.6842,-53.8069,11.05,84,14,0.81
Itacoatiara,BR,1631345126,-3.1431,-58.4442,23.59,81,5,1.02
São Brás de Alportel,PT,1631345126,37.1531,-7.8875,19.38,83,0,2.57
Black River,JM,1631345127,18.0264,-77.8487,26.0,85,42,1.83
Bakchar,RU,1631345129,57.0186,82.0711,12.66,82,95,4.93
Moscow,RU,1631344350,55.7522,37.6156,15.13,71,83,2.47
Kahului,US,1631345131,20.8947,-156.47,25.01,76,1,3.09
Varkaus,FI,1631345132,62.3153,27.873,10.17,95,100,1.59
Lorengau,PG,1631345132,-2.0226,147.2712,27.99,78,99,4.52
Perth,AU,1631345134,-31.9333,115.8333,19.0,46,40,6.17
Luanda,AO,1631345135,-8.8368,13.2343,23.0,83,75,1.03
Pevek,RU,1631345136,69.7008,170.3133,-1.3,77,44,7.89
Tokoroa,NZ,1631345137,-38.2333,175.8667,10.64,76,42,1.75
São Francisco de Assis,BR,1631345138,-29.5503,-55.1311,11.02,83,6,1.13
Leshukonskoye,RU,1631345139,64.8989,45.7622,5.9,94,100,3.22
Ţahţā,EG,1631345140,26.7693,31.5021,28.18,41,0,7.7
Westport,US,1631345141,41.1415,-73.3579,17.64,81,1,0.89
Eirunepé,BR,1631345141,-6.6603,-69.8736,20.74,100,78,1.0
Nong Phai,TH,1631345142,15.9903,101.0618,28.55,80,69,3.65
Devonport,AU,1631345143,-41.1667,146.35,12.83,76,45,6.93
Cherskiy,RU,1631345144,68.75,161.3,2.09,61,55,4.84
Slantsy,RU,1631345145,59.1182,28.0914,18.09,69,14,2.93
Keuruu,FI,1631345145,62.2667,24.7,11.56,97,100,1.11
Santo Antônio do Içá,BR,1631345146,-3.1022,-67.9397,21.7,99,100,0.84
Bandarbeyla,SO,1631345147,9.4942,50.8122,32.17,41,71,13.2
Mazyr,BY,1631345148,52.0495,29.2456,19.09,52,100,1.14
Cabra,ES,1631345149,37.4725,-4.4421,25.22,58,56,1.13
Abnūb,EG,1631345150,27.2696,31.1511,26.12,42,0,7.07
Catalão,BR,1631345151,-18.1658,-47.9464,21.06,63,51,1.57
Penzance,GB,1631345152,50.1186,-5.5371,15.62,88,20,3.6
Grahamstown,ZA,1631345153,-33.3042,26.5328,28.77,23,0,7.98
Lubao,PH,1631345154,14.9167,120.55,30.01,90,100,4.23
Taltal,CL,1631344888,-25.4,-70.4833,13.66,76,14,1.13
Oistins,BB,1631345155,13.0667,-59.5333,28.05,78,40,6.17
Machalí,CL,1631345156,-34.1833,-70.6667,12.07,75,100,0.6
Mayya,RU,1631345157,61.7333,130.2811,17.62,27,91,1.44
Vaitape,PF,1631345158,-16.5167,-151.75,25.07,64,93,4.66
Opelousas,US,1631345159,30.5335,-92.0815,19.37,94,0,0.0
Grójec,PL,1631345160,51.8625,20.8676,19.71,60,73,3.42
Kasongo-Lunda,CD,1631345160,-6.4667,16.8167,27.18,61,99,0.76
Sistranda,NO,1631345162,63.7256,8.834,12.72,87,100,6.39
Taksimo,RU,1631344988,56.3444,114.8794,16.48,66,100,0.56
Sittwe,MM,1631345164,20.15,92.9,28.46,79,98,9.4
Tokmak,UA,1631345165,47.2514,35.7058,24.81,27,31,4.03
Port Macquarie,AU,1631345163,-31.4333,152.9167,21.98,59,0,5.24
Rawson,AR,1631345166,-43.3002,-65.1023,14.78,60,100,12.51
Hayrabolu,TR,1631345167,41.2131,27.1069,21.7,44,0,2.69
Buluang,PH,1631345168,13.3068,123.3425,28.21,84,100,3.14
Sucúa,EC,1631345168,-2.4667,-78.1667,19.25,96,100,1.28
Tuy Hoa,VN,1631345169,13.0833,109.3,28.48,73,100,9.31
Santa Rosa,PH,1631345170,14.3122,121.1114,29.99,80,100,3.58
Novaya Igirma,RU,1631345171,57.1334,103.9112,15.51,42,100,1.0
São Félix do Xingu,BR,1631345172,-6.6447,-51.995,24.7,58,61,0.54
Krasnosel'kup,RU,1631345172,65.7,82.4667,7.36,88,100,4.18
Richards Bay,ZA,1631345173,-28.783,32.0377,21.08,56,0,8.35
Fort Nelson,CA,1631345174,58.8053,-122.7002,12.77,82,90,2.57
Mahibadhoo,MV,1631345175,3.7833,72.9667,28.46,69,100,4.55
Carauari,BR,1631345176,-4.8828,-66.8958,22.07,99,100,1.1
Grand-Santi,GF,1631345176,4.25,-54.3833,21.62,100,39,0.99
Ballina,AU,1631345179,-28.8667,153.5667,24.1,70,0,5.66
Haining,CN,1631345180,30.5363,120.6864,27.01,81,8,6.22
Kiunga,PG,1631345181,-6.1219,141.2906,27.97,81,88,1.24
Nuuk,GL,1631345181,64.1835,-51.7216,4.34,70,75,5.66
Muhafazat Lahij,YE,1631345182,13.1667,44.5833,33.93,46,9,3.3
Turaif,SA,1631345183,31.6725,38.6637,24.14,60,0,5.14
Jacqueville,CI,1631345184,5.2052,-4.4146,24.95,90,97,2.53
Raudeberg,NO,1631345185,61.9875,5.1352,13.37,97,100,6.6
George Town,MY,1631345185,5.4112,100.3354,25.97,83,20,2.06
Marabá,BR,1631345186,-5.3686,-49.1178,25.1,100,0,1.54
Pisco,PE,1631345094,-13.7,-76.2167,15.57,88,90,1.54
Ürümqi,CN,1631345188,43.801,87.6005,21.53,38,0,2.0
Kinablangan,PH,1631345188,7.6947,126.5503,28.2,79,100,2.85
Rairangpur,IN,1631345189,22.2676,86.1751,30.25,91,100,3.03
Bubaque,GW,1631345190,11.2833,-15.8333,25.59,82,100,5.66
High Level,CA,1631345191,58.5169,-117.136,10.06,87,90,3.09
Smithers,CA,1631345192,54.7804,-127.1743,9.18,100,75,1.03
Bilma,NE,1631345193,18.6853,12.9164,33.85,17,94,2.86
Erenhot,CN,1631345194,43.6475,111.9767,24.59,25,33,6.12
Ulladulla,AU,1631345195,-35.35,150.4667,25.5,45,0,5.05
Collie,AU,1631345196,-33.3667,116.15,14.43,49,21,3.63
Provincia di Ancona,IT,1631345197,43.55,13.1667,22.69,63,20,1.54
Dobra,RO,1631345198,44.7833,25.7167,21.94,28,77,0.08
Coyhaique,CL,1631345199,-45.5752,-72.0662,4.97,87,75,2.57
Saldanha,ZA,1631345200,-33.0117,17.9442,13.03,83,100,5.41
Sinnamary,GF,1631345201,5.3833,-52.95,25.22,85,25,4.21
Saint-Joseph,RE,1631345201,-21.3667,55.6167,25.2,72,16,6.13
Big Spring,US,1631345202,32.2504,-101.4787,25.25,41,1,5.56
Corrente,BR,1631345203,-3.7367,-43.3394,20.87,99,50,0.83
Bonnyville,CA,1631345205,54.2668,-110.735,10.62,80,100,3.27
Kamiiso,JP,1631345205,41.8167,140.65,23.21,78,75,6.17
Lac du Bonnet,CA,1631345206,50.2536,-96.0612,12.17,89,2,4.33
Mahon,ES,1631345207,39.8885,4.2658,23.31,78,20,2.06
La Primavera,CO,1631345208,5.4906,-70.4092,24.0,92,100,1.81
Santa Isabel Rio Negro,BR,1631345209,-0.4139,-65.0192,21.8,100,98,0.92
Chennai,IN,1631345032,13.0878,80.2785,34.99,52,40,4.12
Rzhishchëv,UA,1631345210,49.9689,31.0463,22.54,44,95,2.09
Barcelona,ES,1631345211,41.3888,2.159,24.74,78,0,1.79
Keti Bandar,PK,1631345211,24.1447,67.4497,29.25,75,99,7.29
Bathsheba,BB,1631345212,13.2167,-59.5167,28.34,88,40,6.17
Robertsport,LR,1631345213,6.7533,-11.3686,23.75,91,100,2.38
Havelock,US,1631345214,34.8791,-76.9013,21.08,91,0,1.92
Roebourne,AU,1631345215,-20.7833,117.1333,29.79,29,0,7.66
Kaeo,NZ,1631345215,-35.1,173.7833,12.4,79,100,2.34
Neuquén,AR,1631345189,-38.9516,-68.0591,16.15,39,100,6.71
Matara,LK,1631345217,5.9485,80.5353,29.75,67,100,5.77
Ambon City,ID,1631345218,-3.6954,128.1814,27.08,89,40,2.57
Cockburn Town,TC,1631345026,21.4612,-71.1419,28.79,73,100,6.43
Bonfim,BR,1631345219,3.0833,-59.95,25.03,76,100,2.06
Port Hedland,AU,1631345221,-20.3167,118.5667,30.03,37,0,8.23
Irbit,RU,1631345221,57.6705,63.071,9.28,55,100,6.48
Kumul,CN,1631345222,42.8,93.45,29.19,19,100,4.18
Chapleau,CA,1631345223,47.8405,-83.4034,13.14,83,100,4.66
Hōfu,JP,1631345224,34.05,131.5667,26.95,83,100,2.78
Kayerkan,RU,1631345225,69.3497,87.7602,5.31,94,100,6.05
Zaria,NG,1631345226,11.1113,7.7227,23.02,86,100,1.83
Bayanday,RU,1631345226,53.0661,105.5139,9.12,69,100,1.95
Vernon,CA,1631345227,50.2581,-119.2691,18.34,71,99,2.06
Stubbekøbing,DK,1631345229,54.8887,12.041,18.34,92,100,4.59
Nichinan,JP,1631345230,31.6,131.3667,26.53,83,100,1.31
Umm Kaddadah,SD,1631345111,13.6017,26.6876,28.7,58,64,3.21
Ponta Delgada,PT,1631345231,37.7333,-25.6667,20.4,77,40,6.69
Homer,US,1631345233,59.6425,-151.5483,12.11,84,1,0.0
Togur,RU,1631345233,58.3631,82.8265,10.06,89,100,5.86
Imeni Poliny Osipenko,RU,1631345234,52.4201,136.4853,9.76,95,100,2.98
Port Hawkesbury,CA,1631345235,45.6169,-61.3485,17.12,96,90,2.24
Turtas,RU,1631345236,58.9417,69.1325,6.08,96,100,3.65
Huicheng,CN,1631345237,23.0385,116.2899,36.97,66,99,3.74
Shimoda,JP,1631345237,34.6667,138.95,30.06,73,71,3.72
Verkhniy Avzyan,RU,1631345238,53.5289,57.5372,9.34,52,43,6.13
Geraldton,AU,1631345239,-28.7667,114.6,20.23,42,4,8.23
Kamakwie,SL,1631345117,9.5,-12.2333,21.76,98,100,0.74
El Carmen,CO,1631345240,8.5106,-73.4478,20.32,95,100,0.97
São Raimundo das Mangabeiras,BR,1631345241,-7.0219,-45.4811,24.73,54,0,2.13
Ahipara,NZ,1631344987,-35.1667,173.1667,12.06,68,100,4.03
Merauke,ID,1631345242,-8.4667,140.3333,26.7,84,100,6.76
Genhe,CN,1631345243,50.7833,121.5167,11.65,68,100,1.41
Cañon City,US,1631345244,38.441,-105.2424,25.28,26,1,3.09
Acaraú,BR,1631345245,-2.8856,-40.12,25.75,85,41,6.4
Valdivia,CL,1631345246,-39.8142,-73.2459,8.05,97,100,0.52
Maridi,SS,1631345247,4.9158,29.4742,25.16,74,22,0.47
Kyabé,TD,1631345247,9.4515,18.9449,24.37,87,100,1.95
Kedrovyy,RU,1631345248,56.1667,91.8167,16.23,39,100,4.11
Horn,DE,1631345249,51.8715,8.9451,18.51,85,66,4.78
College,US,1631345251,64.8569,-147.8028,11.99,79,90,5.14
Kangaatsiaq,GL,1631345252,68.3065,-53.4641,-2.3,58,0,8.35
Kendari,ID,1631345253,-3.945,122.4989,27.0,83,94,2.62
Amur Oblast,RU,1631345254,54.0,128.0,7.99,98,100,1.39
Juegang,CN,1631345254,32.3174,121.1855,27.27,82,28,6.34
Lavrentiya,RU,1631345255,65.5833,-171.0,4.52,97,100,3.95
Xingyi,CN,1631345256,24.1877,102.817,26.01,41,0,1.98
Mahanje,TZ,1631345257,-9.9333,35.3333,22.59,43,10,3.53
Negombo,LK,1631345258,7.2083,79.8358,28.83,72,96,6.34
Urusha,RU,1631345260,54.05,122.9,10.14,92,100,2.12
Fare,PF,1631345262,-16.7,-151.0167,25.05,63,19,3.88
Arona,ES,1631345264,28.0996,-16.681,20.46,79,20,1.54
Deputatsky,RU,1631345264,69.3,139.9,7.36,56,100,0.96
Coahuayana Viejo,MX,1631345265,18.7333,-103.6833,25.79,92,100,1.35
Karasjok,NO,1631345266,69.4719,25.5112,6.06,65,99,2.34
Arrondissement de Dinan,FR,1631345268,48.4167,-2.25,14.56,78,49,2.05
Pio XII,BR,1631345268,-3.8325,-45.1525,21.97,95,5,1.05
Sawākin,SD,1631345269,19.1059,37.3321,36.39,42,29,3.92
Al Bardīyah,LY,1631345270,31.7561,25.0865,25.35,59,0,4.01
São José da Coroa Grande,BR,1631345271,-8.8978,-35.1478,24.39,71,100,4.95
Myitkyina,MM,1631345272,25.3833,97.4,37.37,38,2,1.2
Vao,NC,1631345273,-22.6667,167.4833,19.78,60,2,6.31
Cortez,US,1631345273,37.3489,-108.5859,20.23,51,1,3.09
Tehachapi,US,1631345055,35.1322,-118.449,24.68,48,0,2.24
Preobrazheniye,RU,1631345275,42.9019,133.9064,22.16,68,11,3.75
Valréas,FR,1631345276,44.3837,4.9908,20.51,65,0,2.84
Baykit,RU,1631345277,61.67,96.37,12.36,47,99,2.89
Ugoofaaru,MV,1631345278,5.6667,73.0,28.15,71,74,4.85
Bien Hoa,VN,1631345279,10.95,106.8167,31.99,78,100,6.42
Seoul,KR,1631345006,37.5683,126.9778,29.66,52,20,5.14
Pemangkat,ID,1631345281,1.1667,108.9667,30.53,62,99,2.69
Lázaro Cárdenas,MX,1631345283,17.9583,-102.2,26.25,88,100,2.36
